Intercept,Day of Week Seasonality,Trend,Events,Media,day_dt
1877926.7550633454,680686.4161540509,-5668.081424563134,0.0,257782.6804629037,2023-07-08
1877926.7550633454,700681.7676834032,-6477.807342357869,0.0,273744.699244918,2023-07-09
1877926.7550633454,744151.4194835251,-7287.533260152603,0.0,273754.90406383155,2023-07-10
1877926.7550633454,715324.513535218,-8097.259177947332,0.0,274441.1501418318,2023-07-11
1877926.7550633454,706435.6426235562,-8906.98509574207,0.0,268811.1497965,2023-07-12
1877926.7550633454,690636.9173104338,-9716.711013536806,0.0,297228.90886774415,2023-07-13
1877926.7550633454,667697.3358139893,-10526.436931331538,0.0,287090.17705202114,2023-07-14
1877926.7550633454,680686.4161540509,-11336.162849126267,0.0,289908.4863743241,2023-07-15
1877926.7550633454,700681.7676834032,-12145.888766921009,0.0,312633.79534245253,2023-07-16
1877926.7550633454,744151.4194835251,-12955.614684715738,0.0,309307.79750114656,2023-07-17
1877926.7550633454,715324.513535218,-13765.340602510463,0.0,310187.306689644,2023-07-18
1877926.7550633454,706435.6426235562,-14575.066520305207,0.0,306572.45380055247,2023-07-19
1877926.7550633454,690636.9173104338,-15384.79243809993,0.0,305547.02347404393,2023-07-20
1877926.7550633454,667697.3358139893,-16194.518355894665,0.0,301299.78146396915,2023-07-21
1877926.7550633454,680686.4161540509,-17004.24427368939,0.0,307264.47916453565,2023-07-22
1877926.7550633454,700681.7676834032,-17813.97019148414,0.0,310612.5525488852,2023-07-23
1877926.7550633454,744151.4194835251,-18623.696109278866,0.0,312851.27837043116,2023-07-24
1877926.7550633454,715324.513535218,-19433.42202707361,0.0,319188.9545729568,2023-07-25
1877926.7550633454,706435.6426235562,-20243.147944868328,0.0,313574.7228427904,2023-07-26
1877926.7550633454,690636.9173104338,-21052.873862663077,0.0,309889.6226405215,2023-07-27
1877926.7550633454,667697.3358139893,-21862.599780457804,0.0,298791.03166889923,2023-07-28
1877926.7550633454,680686.4161540509,-22672.325698252534,0.0,304501.65913609933,2023-07-29
1877926.7550633454,700681.7676834032,-23482.05161604726,0.0,326716.3429007158,2023-07-30
1877926.7550633454,744151.4194835251,-24291.777533842018,0.0,318806.45932204527,2023-07-31
1877926.7550633454,715324.513535218,0.0,0.0,299729.83795601194,2023-08-01
1877926.7550633454,706435.6426235562,2425.7792206510567,0.0,290368.50842810044,2023-08-02
1877926.7550633454,690636.9173104338,4851.558441302113,0.0,291002.7348509104,2023-08-03
1877926.7550633454,667697.3358139893,7277.337661953167,0.0,294007.2043192025,2023-08-04
1877926.7550633454,680686.4161540509,9703.116882604227,0.0,300616.9044595216,2023-08-05
1877926.7550633454,700681.7676834032,12128.89610325529,0.0,324126.1330441968,2023-08-06
1877926.7550633454,744151.4194835251,14554.675323906335,0.0,317089.6426201295,2023-08-07
1877926.7550633454,715324.513535218,16980.45454455739,0.0,316013.03860924044,2023-08-08
1877926.7550633454,706435.6426235562,19406.233765208453,0.0,320024.22859117785,2023-08-09
1877926.7550633454,690636.9173104338,21832.012985859514,0.0,326121.2921962163,2023-08-10
1877926.7550633454,667697.3358139893,24257.79220651058,0.0,326876.78633042926,2023-08-11
1877926.7550633454,680686.4161540509,26683.571427161627,0.0,325961.1712201038,2023-08-12
1877926.7550633454,700681.7676834032,29109.35064781267,0.0,350241.72725677124,2023-08-13
1877926.7550633454,744151.4194835251,31535.12986846373,0.0,352125.52389983076,2023-08-14
1877926.7550633454,715324.513535218,33960.90908911478,0.0,352759.38669091277,2023-08-15
1877926.7550633454,706435.6426235562,36386.68830976586,0.0,350397.83883142704,2023-08-16
1877926.7550633454,690636.9173104338,38812.46753041691,0.0,354677.52402126143,2023-08-17
1877926.7550633454,667697.3358139893,41238.246751067934,0.0,345716.3533971841,2023-08-18
1877926.7550633454,680686.4161540509,43664.02597171903,0.0,346426.2415681871,2023-08-19
1877926.7550633454,700681.7676834032,46089.80519237006,0.0,369958.630300675,2023-08-20
1877926.7550633454,744151.4194835251,48515.58441302116,0.0,361458.6646102794,2023-08-21
1877926.7550633454,715324.513535218,50941.36363367218,0.0,359436.9183479978,2023-08-22
1877926.7550633454,706435.6426235562,53367.142854323254,0.0,376556.6297916167,2023-08-23
1877926.7550633454,690636.9173104338,55792.92207497429,0.0,390603.7446833868,2023-08-24
1877926.7550633454,667697.3358139893,58218.70129562534,0.0,384928.77191260475,2023-08-25
1877926.7550633454,680686.4161540509,60644.4805162764,0.0,374906.9900858866,2023-08-26
1877926.7550633454,700681.7676834032,63070.25973692746,0.0,390076.33439330244,2023-08-27
1877926.7550633454,744151.4194835251,65496.038957578545,0.0,374183.0463181256,2023-08-28
1877926.7550633454,715324.513535218,67921.81817822956,0.0,363051.035358319,2023-08-29
1877926.7550633454,706435.6426235562,70347.59739888065,0.0,346584.4343664282,2023-08-30
1877926.7550633454,690636.9173104338,72773.37661953171,0.0,329116.6222848935,2023-08-31
1877926.7550633454,667697.3358139893,0.0,0.0,307260.48175416054,2023-09-01
1877926.7550633454,680686.4161540509,843.6557196936723,0.0,297219.91228922457,2023-09-02
1877926.7550633454,700681.7676834032,1687.3114393873445,0.0,327920.0850612549,2023-09-03
1877926.7550633454,744151.4194835251,2530.9671590810153,11798.020578829195,326824.27857517597,2023-09-04
1877926.7550633454,715324.513535218,3374.622878774689,0.0,319460.2873534118,2023-09-05
1877926.7550633454,706435.6426235562,4218.278598468355,0.0,314633.1218296736,2023-09-06
1877926.7550633454,690636.9173104338,5061.934318162031,0.0,307615.222296277,2023-09-07
1877926.7550633454,667697.3358139893,5905.590037855703,0.0,295011.05535273004,2023-09-08
1877926.7550633454,680686.4161540509,6749.245757549378,0.0,283026.9566417962,2023-09-09
1877926.7550633454,700681.7676834032,7592.90147724305,0.0,306214.80855653854,2023-09-10
1877926.7550633454,744151.4194835251,8436.55719693671,0.0,300183.29151846725,2023-09-11
1877926.7550633454,715324.513535218,9280.212916630393,0.0,309089.2371216278,2023-09-12
1877926.7550633454,706435.6426235562,10123.868636324061,0.0,307938.35899988975,2023-09-13
1877926.7550633454,690636.9173104338,10967.524356017726,0.0,295563.72856184887,2023-09-14
1877926.7550633454,667697.3358139893,11811.180075711405,0.0,296362.5700113493,2023-09-15
1877926.7550633454,680686.4161540509,12654.835795405068,0.0,294227.5735304557,2023-09-16
1877926.7550633454,700681.7676834032,13498.491515098756,0.0,304244.25488713465,2023-09-17
1877926.7550633454,744151.4194835251,14342.147234792423,0.0,321044.2154067163,2023-09-18
1877926.7550633454,715324.513535218,15185.8029544861,0.0,315724.439602268,2023-09-19
1877926.7550633454,706435.6426235562,16029.458674179763,0.0,304758.77610905486,2023-09-20
1877926.7550633454,690636.9173104338,16873.11439387342,0.0,288805.49885612965,2023-09-21
1877926.7550633454,667697.3358139893,17716.77011356711,0.0,283502.1455662139,2023-09-22
1877926.7550633454,680686.4161540509,18560.425833260786,0.0,293694.2342067624,2023-09-23
1877926.7550633454,700681.7676834032,19404.081552954438,0.0,284951.2590942695,2023-09-24
1877926.7550633454,744151.4194835251,20247.737272648123,0.0,309335.40205545374,2023-09-25
1877926.7550633454,715324.513535218,21091.392992341793,0.0,300131.45534691174,2023-09-26
1877926.7550633454,706435.6426235562,21935.048712035452,0.0,285057.7951830696,2023-09-27
1877926.7550633454,690636.9173104338,22778.704431729147,0.0,275906.64802129025,2023-09-28
1877926.7550633454,667697.3358139893,23622.36015142281,0.0,264753.55084841326,2023-09-29
1877926.7550633454,680686.4161540509,24466.01587111651,0.0,265204.2438170827,2023-09-30
1877926.7550633454,700681.7676834032,0.0,0.0,262253.20646123233,2023-10-01
1877926.7550633454,744151.4194835251,2037.6481672564041,0.0,265385.20526147017,2023-10-02
1877926.7550633454,715324.513535218,4075.2963345128082,0.0,259372.12919259002,2023-10-03
1877926.7550633454,706435.6426235562,6112.944501769215,0.0,257039.54855684875,2023-10-04
1877926.7550633454,690636.9173104338,8150.5926690256165,0.0,249846.28823351543,2023-10-05
1877926.7550633454,667697.3358139893,10188.24083628202,0.0,254522.15604458642,2023-10-06
1877926.7550633454,680686.4161540509,12225.88900353843,0.0,261628.5897458651,2023-10-07
1877926.7550633454,700681.7676834032,14263.537170794829,0.0,279278.0136217782,2023-10-08
1877926.7550633454,744151.4194835251,16301.185338051233,0.0,284871.42500121426,2023-10-09
1877926.7550633454,715324.513535218,18338.83350530764,0.0,285537.49652445945,2023-10-10
1877926.7550633454,706435.6426235562,20376.48167256404,0.0,282040.4282290254,2023-10-11
1877926.7550633454,690636.9173104338,22414.12983982045,0.0,284789.77250074793,2023-10-12
1877926.7550633454,667697.3358139893,24451.77800707686,0.0,287728.5129201721,2023-10-13
1877926.7550633454,680686.4161540509,26489.426174333235,0.0,291833.0261050735,2023-10-14
1877926.7550633454,700681.7676834032,28527.074341589658,0.0,316872.21048158396,2023-10-15
1877926.7550633454,744151.4194835251,30564.72250884608,0.0,312499.38396461494,2023-10-16
1877926.7550633454,715324.513535218,32602.370676102466,0.0,309203.3266959345,2023-10-17
1877926.7550633454,706435.6426235562,34640.0188433589,0.0,301320.07961607055,2023-10-18
1877926.7550633454,690636.9173104338,36677.66701061528,0.0,288894.55814891844,2023-10-19
1877926.7550633454,667697.3358139893,38715.315177871686,0.0,288009.773859494,2023-10-20
1877926.7550633454,680686.4161540509,40752.96334512808,0.0,286786.15038603044,2023-10-21
1877926.7550633454,700681.7676834032,42790.61151238447,0.0,324171.8346919786,2023-10-22
1877926.7550633454,744151.4194835251,44828.2596796409,0.0,311547.6144742173,2023-10-23
1877926.7550633454,715324.513535218,46865.90784689732,0.0,299728.32516227086,2023-10-24
1877926.7550633454,706435.6426235562,48903.55601415372,0.0,299117.4038396204,2023-10-25
1877926.7550633454,690636.9173104338,50941.20418141012,0.0,294831.7053285745,2023-10-26
1877926.7550633454,667697.3358139893,52978.85234866647,0.0,298116.8543327919,2023-10-27
1877926.7550633454,680686.4161540509,55016.500515922926,0.0,327311.55106087675,2023-10-28
1877926.7550633454,700681.7676834032,57054.148683179315,0.0,347495.85748287913,2023-10-29
1877926.7550633454,744151.4194835251,59091.79685043573,0.0,340374.9368775922,2023-10-30
1877926.7550633454,715324.513535218,61129.44501769216,0.0,342731.4956025677,2023-10-31
1877926.7550633454,706435.6426235562,0.0,0.0,398422.4914621316,2023-11-01
1877926.7550633454,690636.9173104338,1483.9825299893155,0.0,347306.568277751,2023-11-02
1877926.7550633454,667697.3358139893,2967.965059978631,0.0,333909.5733564779,2023-11-03
1877926.7550633454,680686.4161540509,4451.947589967943,0.0,334952.2538864573,2023-11-04
1877926.7550633454,700681.7676834032,5935.930119957262,0.0,367203.0715151349,2023-11-05
1877926.7550633454,744151.4194835251,7419.912649946577,0.0,366935.06714753265,2023-11-06
1877926.7550633454,715324.513535218,8903.895179935886,0.0,365817.96503867814,2023-11-07
